s_no,flight_number,date,from,to,aircraft,flight_time,std,atd,sta,,ata,.1,.2
, ,2025-07-25,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXU),01:54:00,06:00:00,06:20:00,08:10:00,,Landed 8:14 AM,  , 
, ,2025-07-24,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTJ),01:54:00,06:00:00,06:07:00,08:10:00,,Landed 8:01 AM,  , 
, ,2025-07-23,Mumbai (BOM),Chandigarh (IXC),A20N (VT-TQB),02:04:00,06:00:00,06:20:00,08:10:00,,Landed 8:23 AM,  , 
, ,2025-07-22,Mumbai (BOM),Chandigarh (IXC),A20N (VT-RTU),01:50:00,06:00:00,07:30:00,08:10:00,,Landed 9:20 AM,  , 
, ,2025-07-21,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXK),01:50:00,06:00:00,06:11:00,08:10:00,,Landed 8:01 AM,  , 
, ,2025-07-20,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXM),01:48:00,05:30:00,05:50:00,07:40:00,,Landed 7:39 AM,  , 
, ,2025-07-19,Mumbai (BOM),Chandigarh (IXC),A20N (VT-EXL),01:54:00,06:00:00,06:15:00,08:10:00,,Landed 8:09 AM,  , 
, ,2025-07-25,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQW),01:09:00,06:00:00,06:17:00,07:25:00,,Landed 7:26 AM,  , 
, ,2025-07-24,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQH),01:08:00,06:00:00,06:18:00,07:25:00,,Landed 7:27 AM,  , 
, ,2025-07-23,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:05:00,06:00:00,06:26:00,07:25:00,,Landed 7:31 AM,  , 
, ,2025-07-22,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQF),01:06:00,06:00:00,06:39:00,07:25:00,,Landed 7:45 AM,  , 
, ,2025-07-21,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TNU),01:07:00,06:00:00,06:22:00,07:25:00,,Landed 7:29 AM,  , 
, ,2025-07-20,Mumbai (BOM),Hyderabad (HYD),A20N (VT-EXV),01:11:00,06:00:00,06:11:00,07:25:00,,Landed 7:23 AM,  , 
, ,2025-07-19,Mumbai (BOM),Hyderabad (HYD),A20N (VT-TQB),01:13:00,06:00:00,06:20:00,07:25:00,,Landed 7:33 AM,  , 
, ,2025-07-25,Mumbai (BOM),Delhi (DEL),A21N (VT-NCB),01:42:00,06:00:00,06:08:00,07:55:00,,Landed 7:49 AM,  , 
, ,2025-07-24,Mumbai (BOM),Delhi (DEL),A21N (VT-IWQ),01:47:00,06:00:00,06:15:00,07:55:00,,Landed 8:02 AM,  , 
, ,2025-07-23,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:52:00,06:00:00,06:22:00,07:55:00,,Landed 8:14 AM,  , 
, ,2025-07-22,Mumbai (BOM),Delhi (DEL),A21N (VT-ICF),01:37:00,06:00:00,06:08:00,07:55:00,,Landed 7:45 AM,  , 
, ,2025-07-21,Mumbai (BOM),Delhi (DEL),A21N (VT-NCR),01:36:00,06:00:00,06:10:00,07:55:00,,Landed 7:45 AM,  , 
, ,2025-07-20,Mumbai (BOM),Delhi (DEL),A21N (VT-NCA),01:40:00,06:00:00,06:02:00,07:55:00,,Landed 7:42 AM,  , 
, ,2025-07-19,Mumbai (BOM),Delhi (DEL),A21N (VT-NCG),01:45:00,06:00:00,06:07:00,07:55:00,,Landed 7:53 AM,  , 
, ,2025-07-25,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAP),02:12:00,06:05:00,06:25:00,08:45:00,,Landed 8:37 AM,  , 
, ,2025-07-24,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAH),02:23:00,06:05:00,06:23:00,08:45:00,,Landed 8:46 AM,  , 
, ,2025-07-23,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAG),02:23:00,06:05:00,06:30:00,08:45:00,,Landed 8:52 AM,  , 
, ,2025-07-22,Mumbai (BOM),Srinagar (SXR),B38M (VT-YBE),02:19:00,06:05:00,06:18:00,08:45:00,,Landed 8:37 AM,  , 
, ,2025-07-21,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAF),02:27:00,06:05:00,06:29:00,08:45:00,,Landed 8:56 AM,  , 
, ,2025-07-20,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAI),02:17:00,06:05:00,06:15:00,08:45:00,,Landed 8:33 AM,  , 
, ,2025-07-19,Mumbai (BOM),Srinagar (SXR),B38M (VT-YAA),02:11:00,06:05:00,06:16:00,08:45:00,,Landed 8:27 AM,  , 
, ,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),01:17:00,06:05:00,06:05:00,07:55:00,,Landed 7:22 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWS),01:26:00,06:05:00,06:12:00,07:55:00,,Landed 7:38 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWT),01:25:00,06:05:00,06:14:00,07:55:00,,Landed 7:39 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWU),01:21:00,06:05:00,06:16:00,07:55:00,,Landed 7:37 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCQ),01:19:00,06:05:00,06:03:00,07:55:00,,Landed 7:22 AM,  , 
, ,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCH),01:20:00,06:05:00,06:06:00,07:55:00,,Landed 7:25 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCB),01:11:00,06:05:00,06:10:00,07:55:00,,Landed 7:21 AM,  , 
, ,2025-07-25,Mumbai (BOM),Colombo (CMB),A20N (VT-IJZ),02:07:00,06:10:00,06:54:00,08:45:00,,Landed 9:00 AM,  , 
, ,2025-07-24,Mumbai (BOM),Colombo (CMB),A20N (VT-ITZ),02:02:00,06:10:00,06:34:00,08:45:00,,Landed 8:36 AM,  , 
, ,2025-07-23,Mumbai (BOM),Colombo (CMB),A20N (VT-IPU),02:06:00,06:10:00,07:31:00,08:45:00,,Landed 9:37 AM,  , 
, ,2025-07-22,Mumbai (BOM),Colombo (CMB),A20N (VT-IIQ),02:03:00,06:10:00,07:07:00,08:45:00,,Landed 9:10 AM,  , 
, ,2025-07-21,Mumbai (BOM),Colombo (CMB),A20N (VT-IQI),02:02:00,06:10:00,07:14:00,08:45:00,,Landed 9:16 AM,  , 
, ,2025-07-20,Mumbai (BOM),Colombo (CMB),A20N (VT-ITZ),02:04:00,06:10:00,06:52:00,08:45:00,,Landed 8:55 AM,  , 
, ,2025-07-19,Mumbai (BOM),Colombo (CMB),A20N (VT-IJY),02:20:00,06:10:00,06:28:00,08:45:00,,Landed 8:48 AM,  , 
, ,2025-07-25,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),—,06:10:00,06:26:00,07:45:00,,Unknown,  , 
, ,2025-07-24,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),01:04:00,06:10:00,06:13:00,07:45:00,,Landed 7:17 AM,  , 
, ,2025-07-23,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),01:04:00,06:10:00,06:25:00,07:45:00,,Landed 7:29 AM,  , 
, ,2025-07-22,Mumbai (BOM),Nagpur (NAG),A21N (VT-ILC),01:05:00,06:10:00,06:17:00,07:45:00,,Landed 7:22 AM,  , 
, ,2025-07-21,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),01:09:00,06:10:00,06:30:00,07:45:00,,Landed 7:40 AM,  , 
, ,2025-07-20,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),01:06:00,06:10:00,06:09:00,07:45:00,,Landed 7:15 AM,  , 
, ,2025-07-19,Mumbai (BOM),Nagpur (NAG),A21N (VT-ICZ),01:05:00,06:10:00,06:19:00,07:45:00,,Landed 7:24 AM,  , 
, ,2025-07-25,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:41:00,06:15:00,06:27:00,08:25:00,,Landed 8:09 AM,  , 
, ,2025-07-24,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:46:00,06:15:00,06:22:00,08:25:00,,Landed 8:08 AM,  , 
, ,2025-07-23,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:49:00,06:15:00,06:37:00,08:25:00,,Landed 8:26 AM,  , 
, ,2025-07-22,Mumbai (BOM),Delhi (DEL),B738 (VT-AAZ),01:39:00,06:15:00,06:11:00,08:25:00,,Landed 7:49 AM,  , 
, ,2025-07-21,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),01:38:00,06:15:00,06:13:00,08:25:00,,Landed 7:52 AM,  , 
, ,2025-07-20,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),01:40:00,06:15:00,05:59:00,08:25:00,,Landed 7:39 AM,  , 
, ,2025-07-19,Mumbai (BOM),Delhi (DEL),B738 (VT-BAZ),01:39:00,06:15:00,06:18:00,08:25:00,,Landed 7:57 AM,  , 
, ,2025-07-25,Mumbai (BOM),Udaipur (UDR),A21N (VT-IMZ),01:03:00,06:15:00,06:31:00,07:40:00,,Landed 7:34 AM,  , 
, ,2025-07-24,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBW),01:07:00,06:15:00,06:24:00,07:40:00,,Landed 7:32 AM,  , 
, ,2025-07-23,Mumbai (BOM),Udaipur (UDR),A21N (VT-ICG),01:02:00,06:15:00,06:33:00,07:40:00,,Landed 7:35 AM,  , 
, ,2025-07-22,Mumbai (BOM),Udaipur (UDR),A21N (VT-ICO),01:00:00,06:15:00,06:22:00,07:40:00,,Landed 7:22 AM,  , 
, ,2025-07-21,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBO),01:05:00,06:15:00,06:31:00,07:40:00,,Landed 7:36 AM,  , 
, ,2025-07-20,Mumbai (BOM),Udaipur (UDR),A21N (VT-IBY),01:05:00,06:15:00,06:21:00,07:40:00,,Landed 7:26 AM,  , 
, ,2025-07-19,Mumbai (BOM),Udaipur (UDR),A21N (VT-ILQ),01:03:00,06:15:00,06:24:00,07:40:00,,Landed 7:27 AM,  , 
, ,2025-07-25,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIU),00:47:00,06:20:00,06:36:00,07:40:00,,Landed 7:23 AM,  , 
, ,2025-07-24,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-ISM),00:55:00,06:20:00,06:19:00,07:40:00,,Landed 7:15 AM,  , 
, ,2025-07-23,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIE),00:48:00,06:20:00,06:35:00,07:40:00,,Landed 7:23 AM,  , 
, ,2025-07-22,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IJX),00:50:00,06:20:00,06:33:00,07:40:00,,Landed 7:23 AM,  , 
, ,2025-07-21,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IXN),00:50:00,06:20:00,06:50:00,07:40:00,,Landed 7:40 AM,  , 
, ,2025-07-20,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IZD),00:49:00,06:20:00,06:27:00,07:40:00,,Landed 7:16 AM,  , 
, ,2025-07-19,Mumbai (BOM),Ahmedabad (AMD),A320 (VT-IFV),00:49:00,06:20:00,06:31:00,07:40:00,,Landed 7:20 AM,  , 
, ,2025-07-25,Mumbai (BOM),Raipur (RPR),A21N (VT-IBU),01:32:00,06:20:00,06:29:00,08:15:00,,Landed 8:01 AM,  , 
, ,2025-07-24,Mumbai (BOM),Raipur (RPR),A21N (VT-IUO),01:33:00,06:20:00,06:33:00,08:15:00,,Landed 8:06 AM,  , 
, ,2025-07-23,Mumbai (BOM),Raipur (RPR),A21N (VT-IRY),01:31:00,06:20:00,06:40:00,08:15:00,,Landed 8:11 AM,  , 
, ,2025-07-22,Mumbai (BOM),Raipur (RPR),A21N (VT-IRZ),01:28:00,06:20:00,06:27:00,08:15:00,,Landed 7:55 AM,  , 
, ,2025-07-21,Mumbai (BOM),Raipur (RPR),A21N (VT-ICO),01:41:00,06:20:00,06:46:00,08:15:00,,Landed 8:26 AM,  , 
, ,2025-07-20,Mumbai (BOM),Raipur (RPR),A21N (VT-ICK),01:33:00,06:20:00,06:14:00,08:15:00,,Landed 7:47 AM,  , 
, ,2025-07-19,Mumbai (BOM),Raipur (RPR),A21N (VT-ICY),01:30:00,06:20:00,06:29:00,08:15:00,,Landed 8:00 AM,  , 
, ,2025-07-25,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),02:03:00,06:25:00,06:33:00,07:25:00,,Landed 7:05 AM,  , 
, ,2025-07-23,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),01:56:00,06:25:00,06:47:00,07:25:00,,Landed 7:13 AM,  , 
, ,2025-07-22,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVI),02:01:00,06:25:00,06:45:00,07:25:00,,Landed 7:15 AM,  , 
, ,2025-07-21,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),01:56:00,06:25:00,06:48:00,07:25:00,,Landed 7:14 AM,  , 
, ,2025-07-20,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVG),02:00:00,07:35:00,08:00:00,08:35:00,,Landed 8:30 AM,  , 
, ,2025-07-19,Mumbai (BOM),Muscat (MCT),A20N (A4O-OVI),02:00:00,06:25:00,06:55:00,07:25:00,,Landed 7:25 AM,  , 
, ,2025-07-25,Mumbai (BOM),Chennai (MAA),A21N (VT-ICW),01:34:00,06:25:00,06:32:00,08:30:00,,Landed 8:07 AM,  , 
, ,2025-07-24,Mumbai (BOM),Chennai (MAA),A21N (VT-ILO),01:33:00,06:25:00,06:37:00,08:30:00,,Landed 8:09 AM,  , 
, ,2025-07-23,Mumbai (BOM),Chennai (MAA),A21N (VT-IML),01:38:00,06:25:00,06:44:00,08:30:00,,Landed 8:22 AM,  , 
, ,2025-07-22,Mumbai (BOM),Chennai (MAA),A21N (VT-ILG),01:31:00,06:25:00,06:32:00,08:30:00,,Landed 8:03 AM,  , 
, ,2025-07-21,Mumbai (BOM),Chennai (MAA),A21N (VT-IUO),01:34:00,06:25:00,06:43:00,08:30:00,,Landed 8:17 AM,  , 
, ,2025-07-20,Mumbai (BOM),Chennai (MAA),A21N (VT-ICG),01:34:00,06:25:00,06:25:00,08:30:00,,Landed 7:58 AM,  , 
, ,2025-07-19,Mumbai (BOM),Chennai (MAA),A21N (VT-ICG),01:40:00,06:25:00,06:21:00,08:30:00,,Landed 8:02 AM,  , 
, ,2025-07-25,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),03:02:00,06:30:00,07:07:00,07:30:00,,Landed 7:39 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bahrain (BAH),A21N (A9C-ND),02:55:00,06:30:00,06:25:00,07:30:00,,Landed 6:50 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bahrain (BAH),A321 (A9C-CC),02:53:00,06:30:00,06:49:00,07:30:00,,Landed 7:12 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),02:56:00,06:30:00,06:36:00,07:30:00,,Landed 7:02 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bahrain (BAH),A21N (A9C-XD),02:53:00,06:30:00,09:29:00,07:30:00,,Landed 9:52 AM,  , 
, ,2025-07-20,Mumbai (BOM),Bahrain (BAH),A21N (A9C-NA),02:59:00,06:30:00,06:24:00,07:30:00,,Landed 6:53 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bahrain (BAH),A21N (A9C-NB),02:55:00,06:30:00,06:34:00,07:30:00,,Landed 6:59 AM,  , 
, ,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTX),01:17:00,06:35:00,06:39:00,08:30:00,,Landed 7:56 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTL),01:18:00,06:35:00,06:39:00,08:30:00,,Landed 7:58 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),01:23:00,06:35:00,06:45:00,08:30:00,,Landed 8:08 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),01:20:00,06:35:00,07:15:00,08:30:00,,Landed 8:35 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTK),01:17:00,06:35:00,06:49:00,08:30:00,,Landed 8:06 AM,  , 
, ,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A20N (VT-RTN),01:21:00,06:35:00,06:33:00,08:30:00,,Landed 7:55 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-EXQ),01:16:00,06:35:00,06:37:00,08:30:00,,Landed 7:54 AM,  , 
, ,2025-07-25,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXH),06:05:00,06:35:00,07:05:00,14:50:00,,Landed 2:40 PM,  , 
, ,2025-07-24,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXM),06:14:00,06:35:00,07:07:00,14:50:00,,Landed 2:51 PM,  , 
, ,2025-07-23,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXG),06:08:00,06:35:00,07:19:00,14:50:00,,Landed 2:57 PM,  , 
, ,2025-07-22,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXM),05:55:00,06:35:00,07:11:00,14:50:00,,Landed 2:36 PM,  , 
, ,2025-07-21,Mumbai (BOM),Jakarta (CGK),A20N (VT-IIX),06:11:00,06:35:00,07:11:00,14:50:00,,Landed 2:51 PM,  , 
, ,2025-07-20,Mumbai (BOM),Jakarta (CGK),A20N (VT-IIU),06:01:00,06:35:00,06:57:00,14:50:00,,Landed 2:29 PM,  , 
, ,2025-07-19,Mumbai (BOM),Jakarta (CGK),A20N (VT-IXF),06:11:00,06:35:00,07:20:00,14:50:00,,Landed 3:01 PM,  , 
, ,2025-07-25,Mumbai (BOM),Delhi (DEL),A20N (VT-TQN),01:50:00,06:40:00,06:50:00,08:45:00,,Landed 8:40 AM,  , 
, ,2025-07-24,Mumbai (BOM),Delhi (DEL),A20N (VT-TQK),01:51:00,06:40:00,06:53:00,08:45:00,,Landed 8:44 AM,  , 
, ,2025-07-23,Mumbai (BOM),Delhi (DEL),A20N (VT-TNE),01:48:00,06:40:00,06:53:00,08:45:00,,Landed 8:41 AM,  , 
, ,2025-07-22,Mumbai (BOM),Delhi (DEL),A20N (VT-TNJ),01:43:00,06:40:00,07:00:00,08:45:00,,Landed 8:43 AM,  , 
, ,2025-07-21,Mumbai (BOM),Delhi (DEL),A20N (VT-TNJ),01:47:00,06:40:00,06:53:00,08:45:00,,Landed 8:40 AM,  , 
, ,2025-07-20,Mumbai (BOM),Delhi (DEL),B788 (VT-ANH),01:38:00,06:40:00,07:48:00,08:45:00,,Landed 9:26 AM,  , 
, ,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-TNI),01:44:00,06:40:00,06:52:00,08:45:00,,Landed 8:36 AM,  , 
, ,2025-07-25,Mumbai (BOM),Istanbul (IST),A333 (TC-JOF),06:16:00,06:40:00,07:10:00,10:55:00,,Landed 10:56 AM,  , 
, ,2025-07-24,Mumbai (BOM),Istanbul (IST),A333 (TC-LOF),06:11:00,06:40:00,07:48:00,10:55:00,,Landed 11:29 AM,  , 
, ,2025-07-23,Mumbai (BOM),Istanbul (IST),A333 (TC-JNS),06:02:00,06:40:00,07:05:00,10:55:00,,Landed 10:37 AM,  , 
, ,2025-07-22,Mumbai (BOM),Istanbul (IST),A333 (TC-LNE),06:07:00,06:40:00,07:47:00,10:55:00,,Landed 11:24 AM,  , 
, ,2025-07-21,Mumbai (BOM),Istanbul (IST),A333 (TC-LND),05:58:00,06:40:00,07:32:00,10:55:00,,Landed 11:00 AM,  , 
, ,2025-07-20,Mumbai (BOM),Istanbul (IST),A333 (TC-JOJ),06:14:00,06:40:00,07:17:00,10:55:00,,Landed 11:01 AM,  , 
, ,2025-07-19,Mumbai (BOM),Istanbul (IST),A333 (TC-JOK),06:11:00,06:40:00,07:01:00,10:55:00,,Landed 10:42 AM,  , 
, ,2025-07-25,Mumbai (BOM),Indore (IDR),A21N (VT-IME),00:55:00,06:40:00,06:45:00,08:00:00,,Landed 7:40 AM,  , 
, ,2025-07-24,Mumbai (BOM),Indore (IDR),A21N (VT-ICL),00:54:00,06:40:00,06:58:00,08:00:00,,Landed 7:52 AM,  , 
, ,2025-07-23,Mumbai (BOM),Indore (IDR),A21N (VT-ICZ),00:55:00,07:00:00,07:01:00,08:00:00,,Landed 7:56 AM,  , 
